SKU,QTY,Cost
10213030,1.0,25.36
111025001,1.0,29.45
133602153137,1.0,22.1628
14556001,2.0,9.53
16128,1.0,3.75
171128KIT,1.0,0.0
222305068179,1.0,82.23
2ABS1998,1.0,33.8
303989292667,1.0,112.8834
39886377,1.0,6.79
43085,1.0,0.0
52111198AB,2.0,20.573016
55077966AH,1.0,29.83911
5W40_FORMULA_G,1.0,5.79
610528,2.0,3.98
68148429AA,1.0,41.06
68210182AA,1.0,56.64
68246457AA,1.0,9.587969
68291616AB,3.0,13.31
68292548AG,1.0,420.090996
68319705AF,1.0,104.66
818341-4,1.0,14.48
84860,1.0,24.26
88964494,1.0,0.0
89058756,1.0,26.11
901980,1.0,41.2
A13S-00128,1.0,60.0
A1C102975,1.0,55.71
A1C132973,1.0,66.01
A1C14-1179,1.0,33.42
A1C14-1241,4.0,23.1
A1C14-1254,2.0,29.94
A1C14-1257,1.0,27.24
A1C14-1266,2.0,33.93
A1C141204,1.0,22.6
A1C141206,1.0,14.58
A1C141208,2.0,16.82
A1C141209,1.0,17.29
A1C184510,1.0,64.26
A1C184894,2.0,45.701672
A1C18B5399,2.0,122.68
A1C19663EUR,1.0,46.37
A1C20-1039,1.0,138.764776
A1C20-291,1.0,68.07
A1C201026,1.0,55.9
A1C202205,1.0,71.55
A1C20269,1.0,32.72
A1C20400,1.0,49.78
A1C20607,1.0,120.0
A1C20771,1.0,110.0
A1C21-5439,1.0,157.14
A1C215343,1.0,70.52
A1C215410,2.0,38.4193
A1C367163101,1.0,91.17
A1C3P25160,1.0,21.03
A1C5093182AA,3.0,20.7
A1C53042,1.0,27.95
A1C58-521,1.0,37.0
A1C603323,1.0,65.94
A1C66-3551,1.0,6.54
A1C661430,1.0,62.41
A1C663740,4.0,84.37
A1C665407EUR,1.0,123.95
A1C68259567AA,1.0,84.37
A1C924225,1.0,55.36
A1C962201,1.0,80.67
A1CAW5051,1.0,14.35
A1CAW5074,2.0,38.58
A1CAW7136,1.0,2.2
A1CMC390378,1.0,19.43
A1CSAJ18B4804,2.0,42.077884
ABEC1A028ABEEUR,1.0,27.54
ABEC1Y007ABE,1.0,32.84
ABEC4Y010ABE,1.0,20.0
ABS100470,1.0,13.04
ABS104435900A,1.0,51.11
ABS40698,1.0,22.46
ABS53006,4.0,41.72
ABS68144427AB,2.0,33.161638
ABSALS2064,1.0,6.96
ACD104003,10.0,8.523523
ACD105074,2.0,5.49
ACD11588255,3.0,4.02
ACD12200411,1.0,75.0
ACD12345982,13.0,7.46
ACD12463090,2.0,17.51
ACD12961B2,1.0,2.02
ACD12F46,1.0,3.98
ACD12TH10E,1.0,5.91
ACD14298,1.0,31.79
ACD15816927,1.0,14.21
ACD19149234,1.0,391.6
ACD19244893,1.0,71.5
ACD19325587,1.0,2.58
ACD19338051,1.0,17.13
ACD20842472,2.0,103.5
ACD20971878,1.0,54.15
ACD2141105,1.0,35.55
ACD23481275,1.0,44.14
ACD24241501,1.0,2.73
