SKU,QTY,Cost
XXX-BM-004,1.0,5.64
XXX-CH-004,1.0,106.79
XXX-FR-062,1.0,3.91
XXX-ME-003,1.0,12.54
XXX-MZ-000,1.0,18.27
XXX-NS-002A,2.0,9.51
XXX-NS-004,2.0,44.94
XXX-PL-002,1.0,10.72
XXX-RE-000,1.0,15.76
XXX-VV-001,4.0,16.54
XXX-VW-001A,1.0,11.45
XXX-VW-031,1.0,7.4
XXX-VW-192,2.0,19.76
XXX000050,3.0,16.17
XXX00021404,2.0,9.78
XXX0002BC,2.0,4.008827
XXX0003MB,1.0,2.555756
XXX0004T,3.0,5.977171
XXX0005454906EUR,1.0,12.32
XXX0005ST,2.0,11.59365
XXX0009BS,1.0,22.393779
XXX0010PG,4.0,1.070224
XXX0013BS,1.0,17.43685
XXX0018,6.0,1.664181
XXX0021PH,1.0,3.823328
XXX0027,1.0,22.94
XXX0031,2.0,1.17
XXX0069971890EUR,1.0,3.16
XXX009028021EUR,2.0,18.67
XXX00MUSTSPOIL,1.0,66.12
XXX01046400EUR,1.0,3.12
XXX01211,1.0,1.46
XXX0122500072EUR,6.0,1.92
XXX0123EUR,1.0,13.93
XXX013516001,1.0,42.69
XXX015964,2.0,7.8
XXX023039,2.0,12.01
XXX025001,1.0,29.45
XXX02501,4.0,0.31
XXX02503,2.0,0.33
XXX02504,4.0,0.3372
XXX02505,4.0,0.3583
XXX02506,3.0,0.42
XXX02507,2.0,0.52
XXX02510,2.0,0.62
XXX02511,14.0,0.6347
XXX02512,3.0,0.67
XXX02513,4.0,0.66
XXX02514,4.0,0.68
XXX02515,1.0,0.857
XXX02516,3.0,0.78
XXX02517,2.0,0.8
XXX02518,2.0,0.83
XXX02519,5.0,0.79
XXX02520,5.0,0.857
XXX02522,5.0,0.85
XXX02531,3.0,0.35
XXX02532,32.0,0.41
XXX02533,1.0,1.0397
XXX02534,2.0,0.29
XXX02535,4.0,0.3653
XXX02536,2.0,0.33
XXX02537,2.0,0.34
XXX02538,2.0,0.37
XXX02539,2.0,0.57
XXX02540,6.0,0.67
XXX02541,2.0,0.0
XXX02542,2.0,0.76
XXX02543,4.0,0.87
XXX02548,2.0,0.28
XXX02549,2.0,0.28
XXX02550,2.0,0.32
XXX02552,2.0,0.33
XXX02555,4.0,0.53
XXX02564,6.0,0.85
XXX02571,2.0,0.96
XXX02573,3.0,0.92
XXX025802702H,1.0,55.72
XXX0263043552_,1.0,7.95
XXX0281002698,1.0,96.0
XXX0285,2.0,1.338455
XXX029PS19909,1.0,22.72
XXX03133,1.0,4.93
XXX03407,4.0,10.331757
XXX034103113B,4.0,0.4917
XXX03419,3.0,16.82
XXX036103113,1.0,0.55
XXX03680,1.0,18.68
XXX03L130235ADEUR,2.0,25.84
XXX041019501,3.0,22.0
XXX0410209,1.0,23.35
XXX0440316,1.0,21.16
XXX0446,20.0,2.99
XXX04720084,1.0,12.0
XXX04797777AC,2.0,1.72
XXX0501219037,1.0,48.59
XXX05083265AA,1.0,13.31
XXX05277919,5.0,0.678
XXX0565,1.0,14.55
XXX05794,1.0,17.05
XXX05HX08SZ0AB,4.0,12.83
XXX06-6005,1.0,6.97
XXX06250,4.0,11.56
XXX068673,8.0,10.9
XXX07116NSA,2.0,114.63
XXX07187WS,1.0,243.15
XXX08-134100-00,4.0,28.88
XXX090005,1.0,1.57
XXX090034,1.0,1.89
XXX090052,2.0,1.49
XXX090058,5.0,2.97
XXX090062,4.0,3.25
XXX090091,1.0,3.72
XXX090098,2.0,2.24
XXX090115,1.0,3.42
XXX090172.1,23.0,2.0
XXX090173,4.0,4.65
XXX090175,1.0,6.53
XXX0931914007,1.0,3.0
XXX09440024,10.0,3.34
XXX097119,1.0,1.51
XXX0W20,6.0,7.931445
XXX0W20_5L,1.0,42.16
XXX0_FORMULA_G,1.0,5.79
XXX10-00-008,12.0,1.386576
XXX10-09-985,5.0,1.98
XXX10-ECO006,12.0,1.216368
XXX10-ECO013,2.0,1.91
XXX10-ECO021,83.0,1.122308
XXX10-ECO023,7.0,1.24
XXX10-ECO044,3.0,1.26
XXX10-ECO053,9.0,1.75
XXX10-ECO067,1.0,3.11
XXX10-ECO072,3.0,1.316554
XXX10-ECO122,6.0,1.728824
XXX10-ECO142,4.0,1.512629
XXX10-H0-004,5.0,1.15
XXX100008A0002,1.0,55.206385
XXX100029A0002,2.0,16.122648
XXX10008742,2.0,32.24
XXX10009,6.0,12.81
XXX1001-0679C,1.0,33.12
XXX100165,2.0,1.49
XXX100183A0004,1.0,5.822937
XXX1001990023EUR,1.0,2.9
XXX100200F,1.0,56.63
XXX100354900D,2.0,29.17
XXX100357,2.0,2.66
XXX100470,2.0,12.9
XXX100537,2.0,3.78
XXX100552,5.0,3.6
XXX100712V,6.0,9.11
XXX100715V,1.0,5.63
XXX1007719,3.0,68.0
XXX10085,1.0,1.59
XXX10088,1.0,8.49
XXX1009,1.0,22.1
XXX1009P,6.0,32.66
XXX10111,4.0,1.61
XXX1012,1.0,26.9
XXX101521,2.0,34.26
XXX10154635,1.0,27.28
XXX10182AA,1.0,56.64
XXX10202940,1.0,16.60128
XXX10206900,1.0,8.2
XXX10210200,1.0,13.94
XXX102142000B,10.0,8.55
XXX102142000B-B,20.0,2.94
XXX102142200B,10.0,7.48
XXX10227,2.0,4.58
XXX10230,25.0,2.26
XXX10231,11.0,1.89
XXX10231873,1.0,60.97
XXX10234,16.0,2.04
XXX10235,1.0,3.93
XXX10239,1.0,13.39
XXX10269,2.0,5.02
XXX1027111CVAX,1.0,78.87
XXX1027111OCVJ,1.0,28.31
XXX1027115,1.0,84.27
XXX1027115ICVJ,1.0,35.93
XXX102712100E,3.0,61.465
XXX1027170,2.0,35.41
XXX102732700D-B,20.0,3.44
XXX102735100C,10.0,41.19
XXX102735100C-B,20.0,5.69
XXX102735100C-B2,20.0,5.05
XXX102739100B,20.0,4.72
XXX102742100E,10.0,10.5
XXX102742600C,10.0,16.35
XXX102744100A,10.0,13.35
XXX102744100AP,18.0,4.9
XXX1028017,1.0,28.76
XXX102823,3.0,19.12
XXX102975,1.0,55.71
XXX103060300B,20.0,4.66
XXX1030616,1.0,84.45
XXX103076,2.0,41.63
XXX10309907,1.0,12.19
XXX103106R,1.0,94.44
XXX10327,1.0,3.8
XXX103549EUR,1.0,30.15
XXX10399726,14.0,2.74
XXX103XP,8.0,3.6
XXX104003,10.0,8.523523
XXX104157000B,10.0,32.14
XXX104157000B-B,18.0,3.89
XXX104226,3.0,11.770393
XXX104412100E,10.0,30.5426
XXX1044122,1.0,61.97
XXX104416400A,2.0,86.06
XXX104432100G,9.0,36.86
XXX104432600G,6.0,36.86
XXX104432600G-B,20.0,4.11
XXX104434100D,4.0,41.9
XXX104434100D-B,18.0,4.0
XXX104434100D-B2,18.0,8.92
XXX104435900A,1.0,51.11
XXX104435900A-B,20.0,2.78
XXX104442300G,10.0,7.22
XXX104442300G-B,20.0,3.05
XXX104442700C,18.0,6.18
XXX104442700C-B,20.0,2.61
XXX104443100G,10.0,5.31
XXX104443100G-B,20.0,3.0
XXX104444400A,10.0,6.4
XXX104444400A-B,20.0,2.94
XXX104484100E,20.0,7.15
XXX104484100ESET,10.0,11.84
XXX104590,14.0,15.302152
XXX10469173,1.0,55.46
XXX104725579AA,1.0,2.42
XXX104911,2.0,10.0
XXX104941EUR,1.0,10.0
XXX10504,1.0,10.68
XXX105074,2.0,5.49
XXX10508,1.0,11.35
XXX1068963,1.0,73.82
XXX1068964,1.0,73.82
XXX1068969,1.0,73.82
XXX1068970,1.0,73.82
XXX10838,3.0,10.31
XXX10846,1.0,4.99
XXX108815465,1.0,32.0
XXX1088348,1.0,8.36
XXX1091784,1.0,16.07
XXX1092308,1.0,19.6
XXX10962/1,1.0,105.77
XXX10W40-1L,7.0,4.1
XXX10W40-5L,1.0,13.1
XXX10W405L,3.0,10.64
XXX10W40_SUPER_2000_X1_4L,2.0,11.33
XXX11,1.0,3.0
XXX11-2017,1.0,13.32
XXX1100108,1.0,26.56
XXX1100675,1.0,367.91
XXX110768100A,2.0,4.75082
XXX110969,1.0,0.89
XXX11102630,1.0,20.96
XXX111778,2.0,15.93
XXX1118I,28.0,2.15
XXX11198AB,2.0,20.573016
XXX11240R6G1,1.0,165.18
XXX1127232,1.0,74.54
XXX11307000,1.0,50.26
XXX113884676190,2.0,1.22
XXX113938,1.0,31.073389
XXX114162988318,1.0,289.31
XXX1148900011,1.0,6.41
XXX11561788,10.0,8.47
XXX11561829,4.0,7.71
XXX11562126,8.0,2.65
XXX11569669,2.0,4.3
XXX1157,10.0,0.32325
XXX1157NA,22.0,0.78
XXX11588255,3.0,4.02
XXX11617579114,2.0,27.24
XXX11617624EUR,1.0,5.7
