SKU \ QTY,QTY,Cost,Date,Supplier,Invoice
TERAW7163,0.0,15.65,,,
TERAW7161,2.0,10.96,,,
VARD1037,0.0,2.77,,,
PRIPH3506,2.0,0.79,,,
PRIPH10060,2.0,0.77,,,
GMB369,0.0,4.01,,,
PRC377,0.0,13.88,,,
PRC365,0.0,8.19,,,
PRC365,0.0,9.05,,,
WINCA3660,0.0,1.13,,,
PRICA10118,2.0,2.06,,,
PRICA9838,4.0,2.58,,,
AYDES3473,0.0,4.64,,,
TPO513058,0.0,3.79,,,
TPO513058,0.0,3.96,,,
TPO513123,0.0,12.25,,,
TPO512156,0.0,12.66,,,
TPO512156,3.0,13.91,,,
TPO513121,1.0,14.55,,,
TPO513159,0.0,14.7,,,
TPO512302,0.0,17.74,,,
TPO513224,1.0,14.36,,,
TPO513124,0.0,15.7,,,
TPO512301,0.0,18.44,,,
TPO513225,1.0,19.68,,,
TPO513188,2.0,17.26,,,
TPO513188,2.0,18.74,,,
ASH30-00-001,0.0,5.26,,,
ASH30-K0-018,1.0,3.1,,,
ASH30-K0-018,2.0,3.8,,,
ASH10-H0-004,2.0,1.75,,,
ASH10-ECO053,0.0,1.52,,,
ASH30-09-988,1.0,5.16,,,
ASHCA9054,1.0,2.27,,,
ASHCA8817,0.0,2.23,,,
GRTDR331,0.0,1.28,,,
GRTDR331,0.0,1.65,,,
GRTFD308,0.0,0.84,,,
GRTPS231,1.0,4.65,,,
GRTPS284,0.0,5.51,,,
GRTPS284,0.0,5.54,,,
GRTPS317,0.0,10.65,,,
GRTSC104,0.0,5.04,,,
VARPS287,0.0,1.57,,,
GRTRY330,0.0,9.0,,,
ASHD1087,0.0,5.25,,,
ASHD1087,1.0,11.14,,,
ASHD1058,0.0,11.77,,,
ASHD866,2.0,7.11,,,
ASHD858,0.0,6.51,,,
ASHD1080,2.0,12.63,,,
ASH53027,0.0,18.32,,,
ASH53026,0.0,9.03,,,
PRE3459,0.0,1.28,,,
PRE3459,0.0,1.35,,,
PRE3459,0.0,1.38,,,
PRE2146,0.0,0.76,,,
PRE2146,0.0,0.94,,,
NAT8835S,0.0,1.98,,,
ASHB941,0.0,9.2,,,
ASHB941,0.0,9.5,,,
ASHB941,1.0,9.94,,,
NAT710068,0.0,4.78,,,
NAT710068,0.0,4.94,,,
VARB1012,1.0,1.66,,,
AYDK3202,0.0,2.68,,,
BAWEV80645,0.0,4.85,,,
AYDEV80702,0.0,2.99,,,
BAWK7433,2.0,6.77,,,
VARK80468,0.0,3.42,,,
MARK3201,2.0,4.26,,,
VARK7258,0.0,2.63,,,
AYDK80262,0.0,2.79,,,
FEBK7410,2.0,1.34,,,
AYDK200254,4.0,1.4,,,
CAR41100,2.0,2.27,,,
VARSB364,0.0,2.41,,,
TPO37015P,2.0,8.5,,,
TPO4861513AA,1.0,14.34,,,
TPO4861513AA,1.0,14.51,,,
ASHT41002,2.0,5.54,,,
CRO4864043,1.0,4.12,,,
SAFK7450A,0.0,3.16,,,
AYDK620177,0.0,11.77,,,
VAR4782561AE,0.0,13.22,,,
VAR52002393,0.0,6.27,,,
MAR53038,0.0,8.0,,,
CROK7406,2.0,2.84,,,
VAR4684756AB,0.0,2.41,,,
VAR4684756AB,0.0,4.59,,,
ASH92-00-002,0.0,36.91,,,
ASH92-00-002,0.0,41.23,,,
ASH62-00-019,0.0,12.45,,,
ASH62-00-019,0.0,13.0,,,
VAR9006XS,0.0,1.09,,,
VARH1_55W,0.0,0.43,,,
CAR7718,2.0,6.15,,,
CAR7581,3.0,8.32,,,
ASH10-ECO023,0.0,1.84,,,
ASH30-09-997,0.0,2.89,,,
ASH30-09-997,1.0,3.47,,,
ASHOJ1688,0.0,14.55,,,
ASHOJ1688,1.0,15.63,,,
CRO4863795,1.0,10.6,,,
ASH20-09-910,1.0,2.31,,,
ASH20-09-910,0.0,2.32,,,
ASH20-09-910,1.0,2.34,,,
ASHCA10228,1.0,3.32,,,
ASH20-00-008,1.0,3.49,,,
ASH20-00-008,1.0,3.71,,,
ASH20-09-909,0.0,1.68,,,
ASH20-09-909,0.0,3.95,,,
ASH20-00-001,0.0,2.43,,,
ASH20-00-001,0.0,2.49,,,
ASH21-CH-CH1,0.0,3.52,,,
ASHCF10747,0.0,3.05,,,
ASHCF10747,1.0,3.86,,,
ASHCF10364,0.0,4.37,,,
ASHCF10729,0.0,2.41,,,
ASHCF10729,0.0,2.51,,,
ASHCF10729,0.0,2.65,,,
ASHCF9597,0.0,2.58,,,
ASHCF9597,1.0,3.29,,,
OEM4883395AA,0.0,3.5,,,
GATKCT905,0.0,18.26,,,
GATKCT905,0.0,19.18,,,
GATKCT905,0.0,21.35,,,
GATKCT905,0.0,24.2,,,
ASH30-M0-002,0.0,3.13,,,
ASH30-M0-002,3.0,3.2,,,
ASH30-09-989,0.0,2.95,,,
ASH30-00-007,0.0,4.38,,,
ASH30-00-007,0.0,4.71,,,
ASHPH8316,1.0,1.86,,,
ASH10-ECO067,0.0,1.83,,,
ASH10-ECO013,1.0,1.9,,,
ASHB886,0.0,9.5,,,
ASH92-00-012,2.0,44.63,,,
ASH92-00-012,1.0,45.2,,,
BILG63829,1.0,24.98,,,
USM22151,0.0,35.44,,,
PRE710068,0.0,4.1,,,
PRE6408,0.0,4.43,,,
PRE5707,0.0,3.97,,,
VARB8305,0.0,3.51,,,
MARK7350,0.0,1.32,,,
VAR4743163AC,1.0,3.07,,,
VAR68071135AB,0.0,4.86,,,
OEM5080529AD,1.0,28.08,,,
ASH5118,0.0,6.63,,,
ASHG63424,4.0,8.12,,,
ASHG63424,4.0,9.32,,,
ASHG63424,8.0,28.9,,,
ASHB761,0.0,9.13,,,
GRTSLS208,0.0,4.26,,,
GRTPC291,1.0,12.42,,,
VAR9676PT1,0.0,4.03,,,
VAR9673PT1,0.0,4.03,,,
VAR5080243-RUL,0.0,4.32,,,
VAR5080243-RUL,0.0,4.8,,,
DAYB295,0.0,10.16,,,
FELMS96042KIT,0.0,6.03,,,
CARH2309,0.0,10.62,,,
TPO512220,2.0,8.64,,,
CRO4721356AA,0.0,7.94,,,
TERAW7150,1.0,11.3,,,
DOR932303,0.0,25.29,,,
VAR52088284AE,0.0,1.26,,,
VAR5080422AA,0.0,4.03,,,
ACD45U0504,0.0,3.4,,,
MARK80258,0.0,2.77,,,
AYDK750058,0.0,1.87,,,
UPREV405,0.0,2.55,,,
SAFEV260,1.0,3.05,,,
VARES3571,1.0,4.39,,,
VARES3571,1.0,4.52,,,
AYDES800408,2.0,2.42,,,
AYDK80629,0.0,2.79,,,
AYDK7218,0.0,3.16,,,
AYDK7218,2.0,3.65,,,
AYDK7425,1.0,21.97,,,
VARH9007,2.0,1.19,,,
VARK80364,1.0,1.0,,,
VARK7185,6.0,2.58,,,
SES72368,0.0,17.02,,,
SES72368,0.0,17.95,,,
WIXFT1122,0.0,4.22,,,
