SKU \ QTY,Krasta QTY,Remte QTY,Cost,Date,Supplier,Invoice
TERAW7151,0.0,1.0,8.18,,,0
TERAW7156,0.0,1.0,8.81,,,0
FED6680,0.0,0.0,8.29,,,0
FED6680,0.0,0.0,11.86,,,0
SMP7473,0.0,0.0,7.85,,,0
SMP7526,1.0,0.0,16.07,,,0
SMP7861,1.0,0.0,43.16,,,0
SMP6671,0.0,1.0,15.04,,,0
FED7629,0.0,1.0,9.29,,,0
SPA7526,0.0,1.0,9.55,,,0
SEN7473,0.0,1.0,7.0,,,0
DORBC95104,0.0,1.0,11.08,,,0
RAYWC37343,0.0,0.0,6.19,,,0
VARD1037,0.0,0.0,3.16,,,0
VARD1037,0.0,0.0,4.72,,,0
LPBD1056,0.0,1.0,10.85,,,0
ASHD868,0.0,0.0,6.62,,,0
LPBD658,0.0,0.0,7.88,,,0
LPBD858,0.0,0.0,7.66,,,0
LPBD858,0.0,0.0,9.15,,,0
LPBD791,0.0,0.0,8.99,,,0
WEAD642,1.0,0.0,11.38,,,0
RAYD650,0.0,1.0,12.12,,,0
RAYD524,0.0,1.0,14.0,,,0
RAYD905,0.0,0.0,14.0,,,0
OEMFT1122,1.0,0.0,35.07,,,0
PRI19,0.0,0.0,1.27,,,0
PRI20,0.0,1.0,1.32,,,0
PRI21,0.0,1.0,1.38,,,0
PRI24,0.0,0.0,1.32,,,0
PRI24,0.0,0.0,1.38,,,0
ANC28,0.0,2.0,2.32,,,0
ANC28,1.0,0.0,2.47,,,0
AUL7989,1.0,2.0,6.39,,,0
CHA3013,0.0,0.0,2.28,,,0
CHA3032,0.0,1.0,1.99,,,0
CHA3032,0.0,0.0,2.21,,,0
CHA3034,0.0,0.0,2.31,,,0
CHA3034,0.0,0.0,2.47,,,0
CHA3071,0.0,0.0,2.21,,,0
CHA3071,0.0,0.0,2.6,,,0
CHA3322,6.0,0.0,1.57,,,0
CHA3322,1.0,12.0,1.96,,,0
CHA3344,0.0,2.0,1.85,,,0
CHA3344,2.0,0.0,1.95,,,0
CHA3401,0.0,0.0,2.18,,,0
CHA3401,0.0,0.0,2.38,,,0
CHA3570,0.0,0.0,2.13,,,0
CHA3570,0.0,0.0,2.21,,,0
CHA3436,0.0,1.0,2.21,,,0
CHA7346,6.0,0.0,3.0,,,0
CHA7983,4.0,0.0,3.22,,,0
CHA7983,4.0,8.0,3.24,,,0
AUL7440XP,0.0,0.0,5.11,,,0
GMB355,0.0,2.0,6.81,,,0
GMB355,0.0,0.0,7.07,,,0
GMB369,0.0,0.0,4.57,,,0
GMB369,0.0,0.0,4.68,,,0
GMB331,0.0,0.0,3.51,,,0
GMB331,0.0,0.0,5.11,,,0
PRC354,0.0,0.0,9.71,,,0
PRC355,1.0,0.0,8.72,,,0
PRC355,1.0,1.0,11.41,,,0
PRC377,0.0,0.0,15.86,,,0
PRC369,0.0,0.0,8.45,,,0
PRC365,0.0,0.0,9.99,,,0
EIK194,0.0,4.0,0.12,,,0
EIK921,0.0,0.0,0.22,,,0
HEO9005,0.0,0.0,1.06,,,0
HEO9006,0.0,1.0,1.07,,,0
PIL9006,0.0,0.0,2.3,,,0
PIL9007,0.0,0.0,2.9,,,0
WINCA3660,0.0,0.0,1.6,,,0
WINCA9662,0.0,0.0,3.57,,,0
PRICA10118,0.0,1.0,2.73,,,0
WINCA10192,0.0,0.0,2.22,,,0
WINCA8606,0.0,0.0,2.49,,,0
WINCA8747,0.0,1.0,2.19,,,0
PRICA9838,0.0,1.0,3.19,,,0
WEAD1058,0.0,0.0,15.0,,,0
RAYK6034,0.0,2.0,13.16,,,0
RAYK772,0.0,0.0,7.75,,,0
RAYK7069,0.0,2.0,8.95,,,0
RAYK6035,0.0,0.0,9.68,,,0
CSPK6145,0.0,0.0,6.76,,,0
RAYES3173,0.0,1.0,6.86,,,0
RAYES3242RL,0.0,0.0,6.43,,,0
CSPES3401,0.0,1.0,5.36,,,0
CSPES3302,0.0,1.0,5.41,,,0
CSPES3302,1.0,0.0,5.53,,,0
OEBES3358,1.0,0.0,5.59,,,0
OEBES3358,1.0,0.0,6.02,,,0
AYDES3472,0.0,0.0,5.28,,,0
AYDES3473,0.0,0.0,5.28,,,0
MOGES3474,0.0,0.0,23.96,,,0
VARES80646,1.0,0.0,4.64,,,0
GAT33469,0.0,0.0,6.89,,,0
GAT31525,0.0,0.0,2.7,,,0
GAT31523,0.0,0.0,2.94,,,0
TPO513058,0.0,0.0,4.0,,,0
TPO513123,0.0,0.0,15.25,,,0
TPO512156,0.0,0.0,14.42,,,0
TPO513121,0.0,0.0,16.57,,,0
TPO513159,0.0,0.0,17.88,,,0
TPO513138,0.0,0.0,14.75,,,0
TPO513138,0.0,0.0,14.77,,,0
TPO512029,0.0,0.0,10.4,,,0
TPO512302,0.0,1.0,20.21,,,0
TPO513224,0.0,0.0,13.22,,,0
TPO513124,0.0,0.0,18.2,,,0
TPO512301,0.0,1.0,21.0,,,0
TPO513225,1.0,2.0,24.16,,,0
TPO515065,9.0,5.0,32.5,,,0
TPO513074,0.0,0.0,14.69,,,0
TPO513188,0.0,0.0,17.34,,,0
TPO513188,0.0,0.0,21.34,,,0
ASH30-00-001,1.0,1.0,6.3,,,0
ASH30-00-012,0.0,0.0,3.04,,,0
ASH30-00-012,0.0,0.0,5.69,,,0
ASH30-K0-018,0.0,0.0,5.73,,,0
ASH10-H0-004,0.0,1.0,1.15,,,0
ASH10-H0-004,0.0,4.0,1.76,,,0
ASH10-ECO053,0.0,0.0,1.47,,,0
ASH10-ECO053,0.0,0.0,1.73,,,0
ASH30-09-988,0.0,1.0,2.82,,,0
ASH30-09-988,0.0,0.0,5.88,,,0
ASH10-ECO021,0.0,0.0,1.2,,,0
ASH10-ECO021,18.0,0.0,1.87,,,0
ASHCA9054,0.0,0.0,2.59,,,0
ASHCA9054,0.0,0.0,2.64,,,0
ASHCA8817,0.0,0.0,2.52,,,0
ASHCA8817,0.0,0.0,2.54,,,0
PEGCA8755,0.0,0.0,5.67,,,0
PEGCA9053,0.0,0.0,4.2,,,0
SMPDR41,0.0,0.0,19.61,,,0
GRTDR331,0.0,0.0,1.46,,,0
GRTDR331,0.0,0.0,3.12,,,0
SMPCH408X,0.0,0.0,3.2,,,0
GRTCH411,2.0,0.0,4.37,,,0
GRTCH411,1.0,0.0,4.73,,,0
SMPJH229,0.0,0.0,23.3,,,0
SMPFD315,0.0,0.0,1.61,,,0
GRTTS253,0.0,0.0,2.03,,,0
SMPFD177,0.0,0.0,6.95,,,0
GRTDS741,0.0,0.0,7.47,,,0
SMPLX260,0.0,1.0,9.68,,,0
GRTLX124,2.0,0.0,9.6,,,0
SMPSG300,0.0,1.0,14.09,,,0
SMPSG300,1.0,0.0,15.59,,,0
SMPRU93,0.0,0.0,8.97,,,0
SMPTH137,1.0,0.0,26.0,,,0
SMPPS287,0.0,1.0,10.09,,,0
GRTPS231,0.0,0.0,5.34,,,0
GRTPS231,0.0,0.0,8.63,,,0
GRTPS284,0.0,0.0,6.31,,,0
GRTPS317,0.0,0.0,12.13,,,0
GRTPC160,0.0,0.0,11.16,,,0
VARPC147,1.0,0.0,12.34,,,0
VARPC105,0.0,0.0,13.02,,,0
GRTSC104,0.0,0.0,5.77,,,0
VARPS287,0.0,0.0,1.79,,,0
STDTX81,1.0,0.0,6.34,,,0
GRTRY330,0.0,0.0,10.63,,,0
GRTRY330,0.0,0.0,16.15,,,0
MON902973,0.0,0.0,10.19,,,0
VAR905911,0.0,0.0,12.24,,,0
MON902945,0.0,0.0,15.94,,,0
MON902945,0.0,0.0,18.24,,,0
ASHD658,0.0,0.0,0.0,,,0
ASHD658,0.0,0.0,7.2,,,0
ASHD1087,0.0,0.0,9.56,,,0
ASHD1059,0.0,0.0,8.41,,,0
ASHD1058,0.0,0.0,14.7,,,0
ASHD1058,0.0,0.0,14.85,,,0
ASHD866,0.0,0.0,6.82,,,0
ASHD866,0.0,0.0,9.41,,,0
ASHD858,0.0,0.0,7.4,,,0
ASHD1326,0.0,0.0,7.4,,,0
ASHD1326,0.0,0.0,7.48,,,0
ASHD1080,0.0,0.0,11.81,,,0
ASHD1080,0.0,0.0,15.02,,,0
ASH53024,0.0,0.0,18.55,,,0
ASH53024,0.0,0.0,25.16,,,0
ASH53036,0.0,0.0,4.97,,,0
ASH53036,4.0,2.0,13.25,,,0
ASH53026,0.0,0.0,21.26,,,0
ATL5356,0.0,0.0,16.0,,,0
ATL5381,2.0,2.0,14.58,,,0
VAR5370,0.0,2.0,8.61,,,0
VAR5370,2.0,0.0,13.73,,,0
ATL5355,1.0,0.0,15.99,,,0
PRE3459,0.0,0.0,1.53,,,0
PRE3459,0.0,0.0,1.63,,,0
PRE2146,0.0,0.0,1.09,,,0
PRE8660S,0.0,0.0,0.72,,,0
NET80021,0.0,0.0,21.82,,,0
CENB636,0.0,0.0,13.56,,,0
LPBB538,0.0,0.0,12.35,,,0
TIM719316,0.0,0.0,7.89,,,0
BOSB777,0.0,1.0,10.09,,,0
LPBB701,0.0,0.0,7.53,,,0
PRE331228H,0.0,0.0,1.02,,,0
PRE331228H,0.0,0.0,1.09,,,0
CENB781,0.0,0.0,25.01,,,0
NAT5778,0.0,0.0,3.74,,,0
ATLB643,0.0,0.0,7.93,,,0
ASHB941,0.0,0.0,11.32,,,0
ASHB941,0.0,0.0,11.43,,,0
NAT331227H,0.0,0.0,11.67,,,0
NAT9845,0.0,0.0,2.9,,,0
NAT9845,0.0,0.0,2.99,,,0
NAT7300S,0.0,0.0,6.02,,,0
NAT4857,0.0,0.0,2.79,,,0
LPBD856,0.0,0.0,10.32,,,0
ULTD699,0.0,0.0,10.92,,,0
LPBD715,0.0,1.0,7.2,,,0
LPBD998,0.0,1.0,8.78,,,0
LPBD998,0.0,0.0,8.92,,,0
ATLD484,2.0,0.0,8.35,,,0
ULTD506,0.0,1.0,12.82,,,0
ATLD642,0.0,1.0,7.29,,,0
VARD650,0.0,1.0,4.34,,,0
CEND1012,0.0,0.0,10.52,,,0
ENTAW7162,0.0,0.0,12.57,,,0
ENTAW7162,0.0,0.0,12.89,,,0
AUL3031,0.0,0.0,2.3,,,0
AUL3031,0.0,6.0,2.31,,,0
AUL3346,0.0,0.0,1.81,,,0
AUL3407,2.0,0.0,2.04,,,0
AUL3407,0.0,4.0,2.49,,,0
CHA0031,0.0,2.0,1.17,,,0
CHA401,0.0,0.0,1.0,,,0
ACD3322,6.0,0.0,1.17,,,0
WES2928,0.0,0.0,8.0,,,0
WES2928,0.0,0.0,11.21,,,0
VARB1012,2.0,0.0,1.89,,,0
WES2984,0.0,0.0,14.84,,,0
ETSES3173,1.0,1.0,6.1,,,0
ASHEV405,0.0,0.0,8.63,,,0
ETSK80629,0.0,0.0,6.5,,,0
ETSK7301,1.0,0.0,7.43,,,0
WES2849,0.0,0.0,5.84,,,0
DNJSS72783,0.0,1.0,7.71,,,0
DNJSS72522,1.0,0.0,6.57,,,0
AYDES3537,0.0,0.0,2.81,,,0
FEL9112PT,0.0,1.0,14.42,,,0
FEL9112PT,1.0,0.0,15.31,,,0
FEL9924PT,0.0,0.0,13.35,,,0
DNJ9676PT1,1.0,0.0,8.95,,,0
DNJ9296PT,0.0,0.0,7.21,,,0
DNJ9076PT1,0.0,0.0,10.56,,,0
DNJ9515PT,1.0,0.0,16.46,,,0
DNJMS95660,0.0,0.0,3.69,,,0
FELVS50022C1,0.0,0.0,4.48,,,0
FELVS50464R,1.0,0.0,13.36,,,0
FELVS50339R,0.0,0.0,14.38,,,0
DNJOS34308R,0.0,0.0,12.28,,,0
VARES3184E,1.0,0.0,3.52,,,0
AYDES80644,3.0,1.0,4.01,,,0
GAT38105,0.0,1.0,24.35,,,0
OEBES3173,0.0,0.0,3.57,,,0
OEBES3401,0.0,1.0,4.35,,,0
MARES3095,0.0,1.0,4.2,,,0
MEVK3185,0.0,0.0,40.51,,,0
MEVK3185,4.0,0.0,41.94,,,0
BAWK500120,1.0,0.0,14.19,,,0
CSPK5331,0.0,0.0,8.72,,,0
AYDK7395,0.0,1.0,3.5,,,0
AYDK7395,0.0,0.0,3.72,,,0
STDK7147,0.0,1.0,3.8,,,0
AYDK6664,4.0,3.0,4.01,,,0
UPRK8749,0.0,0.0,3.79,,,0
VAREV362,1.0,3.0,2.64,,,0
VAREV362,0.0,4.0,2.77,,,0
BAWEV80645,0.0,0.0,5.61,,,0
BAWEV80645,2.0,0.0,5.92,,,0
INPBT149,0.0,1.0,4.08,,,0
INPBT128,0.0,0.0,3.55,,,0
STDEV128,2.0,0.0,5.08,,,0
AYDEV80702,0.0,0.0,3.4,,,0
AYDEV80702,2.0,4.0,3.53,,,0
CSPEV417,0.0,0.0,6.19,,,0
OEBK3137,0.0,1.0,4.71,,,0
OEBK3201,1.0,0.0,4.27,,,0
