SKU \ QTY,Krasta QTY,Remte QTY,Cost,Date,Supplier,Invoice
A1C102975,1,0,55.71,,,0
A1C132973,1,0,66.01,,,0
A1C14-1179,1,0,33.42,,,0
A1C141204,0,0,20.83,28-09-23,IMPROCK,0
A1C141204,1,0,22.6,27-10-23,IMPROCK,0
A1C141206,0,1,14.58,,,0
A1C141206,0,0,11.28,28-07-23,US PARTS BALTI OU,0
A1C141208,0,0,12.14,,,0
A1C141208,0,0,20.36944,04-12-20,ROCKAUTO LLC,0
A1C141208,0,0,19.89,10-09-21,ROCKAUTO LLC,0
A1C141208,1,1,16.82,11-02-22,ROCKAUTO LLC,0
A1C141209,0,0,11.86,,,0
A1C141209,0,0,12.25,,,0
A1C141209,0,0,12.201102,,US PARTS BALTI OU,0
A1C141209,0,0,12.626407,,US PARTS BALTI OU,0
A1C141209,0,0,20.36944,04-12-20,ROCKAUTO LLC,0
A1C141209,0,0,19.89,10-09-21,ROCKAUTO LLC,0
A1C141209,0,0,12.62,16-09-21,US PARTS BALTI OU,0
A1C141209,0,0,12.62,20-10-21,US PARTS BALTI OU,0
A1C141209,0,0,18.674336,31-01-22,US PARTS BALTI OU,0
A1C141209,0,0,18.202427,08-09-22,US PARTS BALTI OU,0
A1C141209,0,0,24.669706,26-01-23,US PARTS BALTI OU,0
A1C141209,0,0,24,27-03-23,IMPROCK,0
A1C141209,0,0,16.42,16-05-23,IMPROCK,0
A1C141209,0,0,16.84,17-07-23,IMPROCK,0
A1C141209,0,0,18.3,17-08-23,IMPROCK,0
A1C141209,0,0,18.84,06-09-23,IMPROCK,0
A1C141209,0,0,17.29,13-10-23,IMPROCK,0
A1C141239,0,0,17.66,,,0
A1C141239,0,0,21.23,02-10-20,Leons Auto Brokers Inc,0
A1C141239,0,0,26.8,09-10-20,Leons Auto Brokers Inc,0
A1C141239,0,0,22.49,24-11-20,Leons Auto Brokers Inc,0
A1C141239,0,0,25.42,16-04-21,Leons Auto Brokers Inc,0
A1C141239,0,0,24.72,02-06-21,Leons Auto Brokers Inc,0
A1C141239,0,0,6.070105,05-07-21,Leons Auto Brokers Inc,0
A1C141239,0,0,36.4725,30-09-21,Leons Auto Brokers Inc,0
A1C141239,0,0,6.480923,21-12-21,Leons Auto Brokers Inc,0
A1C141240,0,0,22.08,04-12-20,Leons Auto Brokers Inc,0
A1C141240,0,0,13.61,19-01-21,Leons Auto Brokers Inc,0
A1C141240,0,0,20.027812,19-11-21,US PARTS BALTI OU,0
A1C141240,0,0,6.480923,21-12-21,Leons Auto Brokers Inc,0
